Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.42500000,-7.28622722625732,0,0
0.43000000,-7.3072247505188,0,0
0.43500000,-7.29742574691772,0,0
0.44000000,-7.41921091079712,0,0
0.44500000,-7.31282424926758,0,0
0.45000000,-7.33102178573608,0,0
0.45500000,-7.37301683425903,0,0
0.46000000,-7.29042673110962,0,0
0.46500000,-7.33102178573608,0,0
0.47000000,-7.32682228088379,0,0
0.47500000,-7.284827709198,0,0
0.48000000,-7.3072247505188,0,0
0.48500000,-7.35481882095337,0,0
0.49000000,-7.32262277603149,0,0
0.49500000,-7.23863315582275,0,0
0.50000000,-7.28902721405029,0,0
0.50500000,-7.35481882095337,0,0
0.51000000,-7.29042673110962,0,0
0.51500000,-7.32122325897217,0,0
0.52000000,-7.38561487197876,0,0
0.52500000,-7.20923662185669,0,0
0.53000000,-7.29322624206543,0,0
0.53500000,-7.3296217918396,0,0
0.54000000,-7.37721633911133,0,0
0.54500000,-7.30862474441528,0,0
0.55000000,-7.39541387557983,0,0
0.55500000,-7.31142425537109,0,0
0.56000000,-7.35761833190918,0,0
0.56500000,-7.24703216552734,0,0
0.57000000,-7.2806282043457,0,0
0.57500000,-7.47100448608398,0,0
0.58000000,-7.38281536102295,0,0
0.58500000,-7.41361141204834,0,0
0.59000000,-7.45560646057129,0,0
0.59500000,-7.39261436462402,0,0
0.60000000,-7.31702375411987,0,0
0.60500000,-7.4360089302063,0,0
0.61000000,-7.29742574691772,0,0
0.61500000,-7.31562376022339,0,0
0.62000000,-7.30162525177002,0,0
0.62500000,-7.32122325897217,0,0
0.63000000,-7.30862474441528,0,0
0.63500000,-7.31142425537109,0,0
0.64000000,-7.28622722625732,0,0
0.64500000,-7.4472074508667,0,0
0.65000000,-7.34641981124878,0,0
0.65500000,-7.25683116912842,0,0
0.66000000,-7.26522970199585,0,0
0.66500000,-7.39961338043213,0,0
0.67000000,-7.28622722625732,0,0
0.67500000,-7.39541387557983,0,0
0.68000000,-7.32682228088379,0,0
0.68500000,-7.30442523956299,0,0
0.69000000,-7.31702375411987,0,0
0.69500000,-7.37161684036255,0,0
0.70000000,-7.3296217918396,0,0
0.70500000,-7.35901832580566,0,0
0.71000000,-7.36461782455444,0,0
0.71500000,-7.27642869949341,0,0
0.72000000,-7.31562376022339,0,0
0.72500000,-7.46820497512817,0,0
0.73000000,-7.4472074508667,0,0
0.73500000,-7.22463512420654,0,0
0.74000000,-7.30862474441528,0,0
0.74500000,-7.31562376022339,0,0
0.75000000,-7.49620151519775,0,0
0.75500000,-7.174241065979,0,0
0.76000000,-7.33522129058838,0,0
0.76500000,-7.27222919464111,0,0
0.77000000,-7.38561487197876,0,0
0.77500000,-7.32262277603149,0,0
0.78000000,-7.43740892410278,0,0
0.78500000,-7.35761833190918,0,0
0.79000000,-7.24003314971924,0,0
0.79500000,-7.3072247505188,0,0
0.80000000,-7.33102178573608,0,0
0.80500000,-7.3030252456665,0,0
0.81000000,-7.26103067398071,0,0
0.81500000,-7.39121437072754,0,0
0.82000000,-7.12664699554443,0,0
0.82500000,-7.3030252456665,0,0
0.83000000,-7.31142425537109,0,0
0.83500000,-7.40801239013672,0,0
0.84000000,-7.53539657592773,0,0
0.84500000,-7.40941190719604,0,0
0.85000000,-7.24003314971924,0,0
0.85500000,-7.29322624206543,0,0
0.86000000,-7.35901832580566,0,0
0.86500000,-7.18683958053589,0,0
0.87000000,-7.2806282043457,0,0
0.87500000,-7.27642869949341,0,0
0.88000000,-7.30442523956299,0,0
0.88500000,-7.34502029418945,0,0
0.89000000,-7.37301683425903,0,0
0.89500000,-7.26243019104004,0,0
0.90000000,-7.37301683425903,0,0
0.90500000,-7.25123167037964,0,0
0.91000000,-7.20643711090088,0,0
0.91500000,-7.37161684036255,0,0
0.92000000,-7.38981437683105,0,0
0.92500000,-7.30162525177002,0,0
0.93000000,-7.25123167037964,0,0
0.93500000,-7.36181783676147,0,0
0.94000000,-7.1518440246582,0,0
0.94500000,-7.39961338043213,0,0
0.95000000,-7.21623611450195,0,0
0.95500000,-7.25263166427612,0,0
0.96000000,-7.3072247505188,0,0
0.96500000,-7.29882574081421,0,0
0.97000000,-7.41361141204834,0,0
0.97500000,-7.34502029418945,0,0
0.98000000,-7.34641981124878,0,0
0.98500000,-7.32262277603149,0,0
0.99000000,-7.33662128448486,0,0
0.99500000,-7.31282424926758,0,0
1.00000000,-7.26522970199585,0,0
1.00500000,-7.1784405708313,0,0
1.01000000,-7.23863315582275,0,0
1.01500000,-7.23443365097046,0,0
1.02000000,-7.21203660964966,0,0
1.02500000,-7.13224649429321,0,0
1.03000000,-7.23443365097046,0,0
1.03500000,-7.24003314971924,0,0
1.04000000,-7.23303413391113,0,0
1.04500000,-7.17984056472778,0,0
1.05000000,-7.1448450088501,0,0
1.05500000,-7.32262277603149,0,0
1.06000000,-7.20503759384155,0,0
1.06500000,-7.04825687408447,0,0
1.07000000,-7.14204502105713,0,0
1.07500000,-7.16584205627441,0,0
1.08000000,-7.15044403076172,0,0
1.08500000,-7.12804698944092,0,0
1.09000000,-7.22043561935425,0,0
1.09500000,-7.14204502105713,0,0
1.10000000,-7.03565835952759,0,0
1.10500000,-7.08185243606567,0,0
1.11000000,-7.15884304046631,0,0
1.11500000,-7.1560435295105,0,0
1.12000000,-7.07065391540527,0,0
1.12500000,-6.97406578063965,0,0
1.13000000,-7.15044403076172,0,0
1.13500000,-6.99926280975342,0,0
1.14000000,-7.08605194091797,0,0
1.14500000,-7.0342583656311,0,0
1.15000000,-6.88167715072632,0,0
1.15500000,-7.05385589599609,0,0
1.16000000,-7.00766181945801,0,0
1.16500000,-6.97126626968384,0,0
1.17000000,-6.93487071990967,0,0
1.17500000,-6.93487071990967,0,0
1.18000000,-7.00766181945801,0,0
1.18500000,-6.92927122116089,0,0
1.19000000,-7.20083808898926,0,0
1.19500000,-6.95306825637817,0,0
1.20000000,-6.96006774902344,0,0
1.20500000,-6.84528160095215,0,0
1.21000000,-6.92787170410156,0,0
1.21500000,-6.79068851470947,0,0
1.22000000,-7.0342583656311,0,0
